edital_processo,nome_ug,objeto,status,id,produto,unidade,preco_maximo,vl_unit,qtd,vl_total,status,empresa,Valor_Unitario,Valor_Total_Item,Qtd,CNPJ_Vencedor,Nome_da_Empresa
CAE 001/25,INSTITUTO DE DESENVOLVIMENTO AGROPECUÁRIO E FLORESTAL SUSTENTÁVEL DO ESTADO DO AMAZONAS,SERVIÇO DE TELEFONIA MÓVEL,Homologado Total,152935,"TELEFONIA MÓVEL PESSOAL, Assinatura básica mensal para Plano de voz nacional ilimitado e dados de 30GB - Acesso a interne, com comodato de aparelho celular padrão I, conforme Termo de Referência.",assinatura mensal,49.47,"49,47",4770,"235971,9",Homologado,CLARO S.A (40.432.544/0001-47),49.47,235971.9,4770.0,40.432.544/0001-47,CLARO SA
CAE 001/26,FUNDAÇÃO DE HEMATOLOGIA E HEMOTERAPIA DO AMAZONAS,SERVIÇO DE MAQUEIRO-HEMOAM,Homologado Total,140963,"SERVIÇO DE MAQUEIRO, Contratação de empresa especializada em serviço de Maqueiro -  ÁREA HOSPITALAR - escala 12x36 - NOTURNO, conforme Projeto Básico.",posto,13147.62,"13147,62",36,"473314,32",Homologado,DINAMICA SERVICOS EMPRESARIAIS LTDA (29.033.962/0001-29),13147.62,473314.32,36.0,29.033.962/0001-29,DINAMICA SERVICOS EMPRESARIAIS LTDA
CAE 001/26,FUNDAÇÃO DE HEMATOLOGIA E HEMOTERAPIA DO AMAZONAS,SERVIÇO DE MAQUEIRO-HEMOAM,Homologado Total,140966,"SERVIÇO DE MAQUEIRO, Contratação de empresa especializada em serviço de Maqueiro - ÁREA HOSPITALAR - escala 12x36 - DIURNO, conforme Projeto Básico.",posto,11835.09,"11835,09",72,"852126,48",Homologado,DINAMICA SERVICOS EMPRESARIAIS LTDA (29.033.962/0001-29),11835.09,852126.48,72.0,29.033.962/0001-29,DINAMICA SERVICOS EMPRESARIAIS LTDA
CAE 001/26,SECRETARIA DE ESTADO DE INFRAESTRUTURA,Fornec. de Sinaliz Vert e Horiz/SEINFRA,Aguardando Homologação,139841,"SINALIZAÇÃO VIÁRIASINALIZAÇÃO VIÁRIA, Contratação de Empresa Especializada para Prestação de Serviços de SINALIZAÇÃO HORIZONTAL, VERTICAL E SEMAFÓRICA, com fornecimento de materiais, equipamentos e disponibilização de mão de obra, conforme Projeto Básico.",serviço,2359297.3,"2359297,3",1,"2359297,3",Encerrado com Vencedor,FVB CONSTRUCAO E SINALIZACAO DE TRANSITO LTDA (07.581.251/0001-56),2359297.3,2359297.3,1.0,07.581.251/0001-56,FVB CONSTRUCAO E SINALIZACAO DE TRANSITO LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147766,"SERVIÇO DE CONFECÇÃO DE DIPLOMA/CERTIFICADO, Tamanho: 31x21; Papel: 250gm; Impressão: 4/0",unidade,1.6,"1,6",500,800,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.6,800.0,500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147079,"SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 42 x 29,5 cm em papel couchê, gramatura 180gm e impressão 4x4 em 3 dobras.",unidade,1,1,7500,7500,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.0,7500.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147080,"SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 46,5 x 25cm em papel couchê, gramatura 120gm à 180gm e impressão 4x4 em 2 dobras.",unidade,1,1,7500,7500,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.0,7500.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,115240,"SERVIÇO DE CONFECÇÃO DE FAIXA , Impressão digital em lona vinílica; Tamanho e personalização a serem definidos pelo órgão solicitante. ",m²,100,100,425,42500,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),100.0,42500.0,425.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153269,"SERVIÇO DE CONFECÇÃO DE PAINEL, Contratação de empresa especializada em serviço de confecção de Painel em chapa 22 adesivada, impressão digital 4/0.",m²,360,360,40,14400,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),360.0,14400.0,40.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,72460,"VENTAROLA, Descrição: serviço de confecção de ventarola/leque, conforme discriminação em Projeto Básico",unidade,1.3,"1,3",12500,16250,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.3,16250.0,12500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
