edital_processo,id_ug,cod_ug,nome_ug,objeto,vl_homol,data,status,rp,id_edital,id_modalidade,modalidade,publicacao,item
CAE 001/25,18201,IDAM,INSTITUTO DE DESENVOLVIMENTO AGROPECUÁRIO E FLORESTAL SUSTENTÁVEL DO ESTADO DO AMAZONAS,SERVIÇO DE TELEFONIA MÓVEL,"     235,971.90",,Homologado Total,N,252983,109,CAE,05/02/2026,"[{'id': '152935', 'produto': 'TELEFONIA MÓVEL PESSOAL, Assinatura básica mensal para Plano de voz nacional ilimitado e dados de 30GB - Acesso a interne, com comodato de aparelho celular padrão I, conforme Termo de Referência.', 'unidade': 'assinatura mensal', 'preco_maximo': '49.47', 'vl_unit': '49,47', 'qtd': '4770', 'vl_total': '235971,9', 'status': 'Homologado', 'empresa': 'CLARO S.A (40.432.544/0001-47)'}]"
CAE 001/26,11210,DETRAN,DEPARTAMENTO ESTADUAL DE TRANSITO,SERV. LOCAÇÃO DE MÓDULOS HABITACIONAIS,           0.00,,Anulado / Revogado,N,252757,109,CAE,08/01/2026,"[{'id': '115453', 'produto': 'LOCAÇÃO DE MÓDULO HABITÁVEL, Tipo: Escritório/Dormitório; Dimensões externas: 2440 x 3000 x 6000 mm (L x A x C); Altura útil interna: 2800mm; Chassis: Monobloco rígido confeccionado por estruturas de alumínio naval 5052 com 4,00mm; Painel de Fechamento: Estrutura em chapa de alumínio e ACM (Painel de Alumínio Composto) com espessura de 50mm, formada por alma de espuma de poliuretano; Piso: Chapa de alumínio naval 5052 com 4mm e recobrimento em manta vinílica homogênea de 2mm; Teto: Painel pré-fabricado 75mm com núcleo isolante em espuma de poliuretano; Esquadrias: Portas em alumínio com alma em espuma de poliuretano e acabamento branco e Janelas e Basculantes em alumínio com acabamento eletrostático branco; Com luminárias para lâmpadas led tubular (2 x 13watts); Toldo fixo, medindo 6000 x 3000 x 500 mm acima do módulo; Climatização: condicionador de ar com potência de 24.000Btus, cada ambiente (dormitório e escritório); Isolamento acústico: (45db); Permeabilidade do Ar: Classe 4;  Estanqueidade à água: E750; Resistência ao vento: Classe C5; Com beliche e roupeiro em estrutura metálica.', 'unidade': 'mês', 'preco_maximo': '-', 'vl_unit': '', 'qtd': '1500', 'vl_total': '0', 'status': 'Encerrado', 'empresa': '-'}]"
CAE 001/26,17302,FHEMOAM,FUNDAÇÃO DE HEMATOLOGIA E HEMOTERAPIA DO AMAZONAS,SERVIÇO DE MAQUEIRO-HEMOAM,"   1,325,440.80",,Homologado Total,N,253146,109,CAE,23/02/2026,"[{'id': '140963', 'produto': 'SERVIÇO DE MAQUEIRO, Contratação de empresa especializada em serviço de Maqueiro -  ÁREA HOSPITALAR - escala 12x36 - NOTURNO, conforme Projeto Básico.', 'unidade': 'posto', 'preco_maximo': '13147.62', 'vl_unit': '13147,62', 'qtd': '36', 'vl_total': '473314,32', 'status': 'Homologado', 'empresa': 'DINAMICA SERVICOS EMPRESARIAIS LTDA (29.033.962/0001-29)'}, {'id': '140966', 'produto': 'SERVIÇO DE MAQUEIRO, Contratação de empresa especializada em serviço de Maqueiro - ÁREA HOSPITALAR - escala 12x36 - DIURNO, conforme Projeto Básico.', 'unidade': 'posto', 'preco_maximo': '11835.09', 'vl_unit': '11835,09', 'qtd': '72', 'vl_total': '852126,48', 'status': 'Homologado', 'empresa': 'DINAMICA SERVICOS EMPRESARIAIS LTDA (29.033.962/0001-29)'}]"
CAE 001/26,25101,SEINF,SECRETARIA DE ESTADO DE INFRAESTRUTURA,Fornec. de Sinaliz Vert e Horiz/SEINFRA,"   2,359,297.30",,Aguardando Homologação,N,253139,109,CAE,23/02/2026,"[{'id': '139841', 'produto': 'SINALIZAÇÃO VIÁRIASINALIZAÇÃO VIÁRIA, Contratação de Empresa Especializada para Prestação de Serviços de SINALIZAÇÃO HORIZONTAL, VERTICAL E SEMAFÓRICA, com fornecimento de materiais, equipamentos e disponibilização de mão de obra, conforme Projeto Básico.', 'unidade': 'serviço', 'preco_maximo': '2359297.3', 'vl_unit': '2359297,3', 'qtd': '1', 'vl_total': '2359297,3', 'status': 'Encerrado com Vencedor', 'empresa': 'FVB CONSTRUCAO E SINALIZACAO DE TRANSITO LTDA (07.581.251/0001-56)'}]"
CAE 001/26,31701,FEAS,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,"     997,065.00",,Aguardando Homologação,N,253136,109,CAE,23/02/2026,"[{'id': '147766', 'produto': 'SERVIÇO DE CONFECÇÃO DE DIPLOMA/CERTIFICADO, Tamanho: 31x21; Papel: 250gm; Impressão: 4/0', 'unidade': 'unidade', 'preco_maximo': '1.6', 'vl_unit': '1,6', 'qtd': '500', 'vl_total': '800', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147079', 'produto': 'SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 42 x 29,5 cm em papel couchê, gramatura 180gm e impressão 4x4 em 3 dobras.', 'unidade': 'unidade', 'preco_maximo': '1', 'vl_unit': '1', 'qtd': '7500', 'vl_total': '7500', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '115240', 'produto': 'SERVIÇO DE CONFECÇÃO DE FAIXA , Impressão digital em lona vinílica; Tamanho e personalização a serem definidos pelo órgão solicitante. ', 'unidade': 'm²', 'preco_maximo': '100', 'vl_unit': '100', 'qtd': '425', 'vl_total': '42500', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153269', 'produto': 'SERVIÇO DE CONFECÇÃO DE PAINEL, Contratação de empresa especializada em serviço de confecção de Painel em chapa 22 adesivada, impressão digital 4/0.', 'unidade': 'm²', 'preco_maximo': '360', 'vl_unit': '360', 'qtd': '40', 'vl_total': '14400', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147080', 'produto': 'SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 46,5 x 25cm em papel couchê, gramatura 120gm à 180gm e impressão 4x4 em 2 dobras.', 'unidade': 'unidade', 'preco_maximo': '1', 'vl_unit': '1', 'qtd': '7500', 'vl_total': '7500', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '72460', 'produto': 'VENTAROLA, Descrição: serviço de confecção de ventarola/leque, conforme discriminação em Projeto Básico', 'unidade': 'unidade', 'preco_maximo': '1.3', 'vl_unit': '1,3', 'qtd': '12500', 'vl_total': '16250', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153996', 'produto': 'SERVIÇO DE IMPRESSÃO EM LONASERVIÇO DE IMPRESSÃO EM LONA, Contratação de empresa especializada em serviço de confecção de lona vinílica com impressão digital 4/0, sem acabamento, em 280gm à 350gm (m2).', 'unidade': 'm²', 'preco_maximo': '78', 'vl_unit': '78', 'qtd': '150', 'vl_total': '11700', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147081', 'produto': 'SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 15,5 x 60,5cm em papel couchê, gramatura 150gm e impressão 4x4 em 3 dobras.', 'unidade': 'unidade', 'preco_maximo': '1.26', 'vl_unit': '1,26', 'qtd': '7500', 'vl_total': '9450', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147091', 'produto': 'SERVIÇO DE CONFECÇÃO DE FAIXA, LONA VINÍLICA COM IMPRESSÃO DIGITAL, com acabamento com ponteira de madeira, impressão em lona 280gm à 350gm.', 'unidade': 'm²', 'preco_maximo': '62', 'vl_unit': '62', 'qtd': '250', 'vl_total': '15500', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147086', 'produto': 'SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 42 x 30cm em papel couchê, gramatura 90gm e impressão 4x4 em 3 dobras \x96 vertical e horizontal.', 'unidade': 'unidade', 'preco_maximo': '1.1', 'vl_unit': '1,1', 'qtd': '7500', 'vl_total': '8250', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '72460', 'produto': 'VENTAROLA, Descrição: serviço de confecção de ventarola/leque, conforme discriminação em Projeto Básico', 'unidade': 'unidade', 'preco_maximo': '1.1', 'vl_unit': '1,1', 'qtd': '15000', 'vl_total': '16500', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147132', 'produto': 'SERVIÇO DE CONFECÇÃO DE FOLDER, formato 40,5 x 27,5 em papel couchê 115gm à 150gm com impressão 4/4, com 2 dobras.', 'unidade': 'unidade', 'preco_maximo': '1.15', 'vl_unit': '1,15', 'qtd': '5000', 'vl_total': '5750', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147083', 'produto': 'SERVIÇO DE CONFECÇÃO DE FOLDER, Formato A3 em papel couchê, gramatura 150gm à 180gm e impressão 4x4, quantidade de dobra 1.', 'unidade': 'unidade', 'preco_maximo': '.9', 'vl_unit': '0,9', 'qtd': '7500', 'vl_total': '6750', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147082', 'produto': 'SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 21 x 30 em papel couchê, gramatura 120gm à 150gm e impressão 4x4 em 2 dobras.', 'unidade': 'unidade', 'preco_maximo': '.53', 'vl_unit': '0,53', 'qtd': '7500', 'vl_total': '3975', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147118', 'produto': 'SERVIÇO DE IMPRESSÃO EM LONA, Impressão digital (solvete) em lona 400g; Estrutura metálica 8x10 (bumbódromo).', 'unidade': 'm²', 'preco_maximo': '6430', 'vl_unit': '6430', 'qtd': '68', 'vl_total': '437240', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153262', 'produto': 'SERVIÇO DE PERSONALIZAÇÃO DE ITEM, Contratação de empresa especializada em serviço de confecção de GARRAFA SQUEEZE, material em polipropileno, 330ml personalizada.', 'unidade': 'unidade', 'preco_maximo': '9.75', 'vl_unit': '9,75', 'qtd': '2500', 'vl_total': '24375', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147094', 'produto': 'FLYER, Tamanho em formato 21 x 15, em papel couchê de 170gm e impressão 4/4.', 'unidade': 'unidade', 'preco_maximo': '.42', 'vl_unit': '0,42', 'qtd': '7500', 'vl_total': '3150', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153258', 'produto': 'SERVIÇO DE IMPRESSÃO EM LÂMINA, Impressão em lâmina em papel couchê fosco 180gm à 220gm, com impressão 4/4 tamanhos 14 x 21.', 'unidade': 'unidade', 'preco_maximo': '.35', 'vl_unit': '0,35', 'qtd': '5000', 'vl_total': '1750', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147117', 'produto': 'SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho: 21,5cm x 23,5cm; Papel: couchê; Gramatura: 150g/m² a 190g/m²; Impressão: 4x4; 1 dobra. ', 'unidade': 'unidade', 'preco_maximo': '.79', 'vl_unit': '0,79', 'qtd': '7500', 'vl_total': '5925', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153296', 'produto': 'SERVIÇO DE CONFECÇÃO DE ADESIVO, Contratação de empresa especializada em serviço de confecção de Adesivo vinil auto aderente, com impressão digital.', 'unidade': 'm²', 'preco_maximo': '75', 'vl_unit': '75', 'qtd': '250', 'vl_total': '18750', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153867', 'produto': 'ADESIVO, Tipo: vinil; Material: acrílico cristal; Personalização a ser definida pelo órgão solicitante; Dimensões: 5mm.', 'unidade': 'metro quadrado', 'preco_maximo': '400', 'vl_unit': '400', 'qtd': '75', 'vl_total': '30000', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153991', 'produto': 'CERTIFICADO, Tamanho 32x22cm; Papel 220gm a 4gm; Impressão 4x0; Demais especificações conforme Termo de Referência. ', 'unidade': 'unidade', 'preco_maximo': '1.8', 'vl_unit': '1,8', 'qtd': '750', 'vl_total': '1350', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147113', 'produto': 'SERVIÇO DE CONFECÇÃO DE FOLDER, Folders: papel couché 230g; Formato: 30,5 x 32,5; Impressão 4/4; 1 dobra. ', 'unidade': 'unidade', 'preco_maximo': '1.1', 'vl_unit': '1,1', 'qtd': '7500', 'vl_total': '8250', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153990', 'produto': 'SERVIÇO DE CONFECÇÃO DE LIVRETO, Material Capa: papel couchê; Gramatura: 150g/m² a 220g/m²  ; Miolo: 90g/m²; Impressão: 4/4; Quantidade de Páginas: 14.  ', 'unidade': 'unidade', 'preco_maximo': '2.5', 'vl_unit': '2,5', 'qtd': '10000', 'vl_total': '25000', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147112', 'produto': 'FLYER, Formato 21x15; Papel couché 180g; Impressão 4/4.', 'unidade': 'unidade', 'preco_maximo': '.49', 'vl_unit': '0,49', 'qtd': '7500', 'vl_total': '3675', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153992', 'produto': 'SERVIÇO DE IMPRESSÃO EM LONA, Contratação de empresa especializada em serviço de confecção de lona vinílica com estrutura em metalon parede grossa (copiada); Demais especificações conforme Termo de Referência. ', 'unidade': 'm²', 'preco_maximo': '275.5', 'vl_unit': '275,5', 'qtd': '50', 'vl_total': '13775', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '147121', 'produto': 'SERVIÇO DE CONFECÇÃO DE PLACA, em PVC ADESIVADOS EM VINIL, FORMATO M2, estendido entre 2mm e 6mm, impressão 4/0 (texto e imagem conforme solicitação do contratante). ', 'unidade': 'm²', 'preco_maximo': '180', 'vl_unit': '180', 'qtd': '250', 'vl_total': '45000', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153993', 'produto': 'SERVIÇO DE CONFECÇÃO DE LIVRETO, Material Capa: papel couchê; Gramatura: 150g/m² a 220g/m²  ; Miolo: 90g/m²; Impressão: 4/4; Quantidade de Páginas: 20.  ', 'unidade': 'unidade', 'preco_maximo': '1.4', 'vl_unit': '1,4', 'qtd': '10000', 'vl_total': '14000', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}, {'id': '153994', 'produto': 'SERVIÇO DE CONFECÇÃO DE APOSTILA, Material: papel offset 90g/m², com capa transparente; Encadernação espiral; Quantidade de folhas: 100.', 'unidade': 'unidade', 'preco_maximo': '19.8', 'vl_unit': '19,8', 'qtd': '10000', 'vl_total': '198000', 'status': 'Encerrado com Vencedor', 'empresa': 'D AVELINO BEZERRA LTDA (34.804.149/0001-45)'}]"
CAE 001/26,22704,FEPDEC,FUNDO ESTADUAL DE PROTEÇAO E DEFESA CIVIL,CONT. DE EMPRESA P/ LOC. DE BANHEIROS,"      38,400.00",,Homologado Total,N,253128,109,CAE,23/02/2026,"[{'id': '151202', 'produto': 'SERVIÇOS DE LOCAÇÃO DE BANHEIROS QUÍMICOS, Tipo: para pessoas com deficiência - PCD; Confeccionado em material polietileno de alta densidade; Dimensões (AxP): 2,30m x 1,50m; Peso: 100kg; Conforme Termo de Referência.', 'unidade': 'diária', 'preco_maximo': '320', 'vl_unit': '320', 'qtd': '120', 'vl_total': '38400', 'status': 'Homologado', 'empresa': 'LOAH SERVICOS EMPRESARIAL LTDA (30.105.562/0001-60)'}]"
CAE 001/26,17301,FCECON,FUNDAÇÃO CENTRO DE CONTROLE DE ONCOLOGIA DO ESTADO DO AMAZONAS,AQUISIÇÃO DE PAPEL TOALHA - FCECON,           0.00,,Em Elaboração,N,253127,109,CAE,,"[{'id': '71952', 'produto': 'PAPEL TOALHA, Material: 100% fibra celulósica vegetal virgem, Cor: branca, Dimensões: 23 x 23 cm (+/- 5%), Apresentação: não reciclado, interfolhado, com 2 dobras, Unidade Fornecimento: pacote com 1250 folhas', 'unidade': 'pacote', 'preco_maximo': '-', 'vl_unit': '', 'qtd': '2000', 'vl_total': '0', 'status': 'Pendente', 'empresa': '-'}]"
CAE 001/26,22703,FESP/AM,FUNDO ESTADUAL DE SEGURANÇA PÚBLICA DO AMAZONAS,Aquisição de coletes balísticos.,"   2,418,927.40",,Homologado Total,N,253100,109,CAE,19/02/2026,"[{'id': '151944', 'produto': 'COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Feminino; Tamanho: grande (G), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas.', 'unidade': 'unidade', 'preco_maximo': '1405.31', 'vl_unit': '1405,31', 'qtd': '10', 'vl_total': '14053,1', 'status': 'Homologado', 'empresa': 'COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03)'}, {'id': '151942', 'produto': 'COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Feminino; Tamanho: pequeno (P), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas. ', 'unidade': 'unidade', 'preco_maximo': '1366.42', 'vl_unit': '1366,42', 'qtd': '82', 'vl_total': '112046,44', 'status': 'Homologado', 'empresa': 'COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03)'}, {'id': '151949', 'produto': 'COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Masculino; Tamanho: extra grande (GG), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas.', 'unidade': 'unidade', 'preco_maximo': '1560.88', 'vl_unit': '1560,88', 'qtd': '10', 'vl_total': '15608,8', 'status': 'Homologado', 'empresa': 'COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03)'}, {'id': '151946', 'produto': 'COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Masculino; Tamanho: médio (M), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas. ', 'unidade': 'unidade', 'preco_maximo': '1665.99', 'vl_unit': '1665,99', 'qtd': '1100', 'vl_total': '1832589', 'status': 'Homologado', 'empresa': 'COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03)'}, {'id': '151943', 'produto': 'COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Feminino; Tamanho: médio (M), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas.', 'unidade': 'unidade', 'preco_maximo': '1519.25', 'vl_unit': '1519,25', 'qtd': '60', 'vl_total': '91155', 'status': 'Homologado', 'empresa': 'COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03)'}, {'id': '151948', 'produto': 'COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Masculino; Tamanho: grande (G), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas. ', 'unidade': 'unidade', 'preco_maximo': '1592.23', 'vl_unit': '1592,23', 'qtd': '222', 'vl_total': '353475,06', 'status': 'Homologado', 'empresa': 'COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03)'}]"
CAE 001/26,30201,IPAAM,INSTITUTO DE PROTEÇÃO AMBIENTAL DO ESTADO DO AMAZONAS,SERV. AGENCIAMENTO DE PASSAGENS  - IPAAM,"     534,876.00",,Homologado Total,N,253091,109,CAE,13/02/2026,"[{'id': '118817', 'produto': 'SERVIÇO DE PASSAGEM AÉREA, Descrição: Aquisição de Passagens Aéreas, conforme Projeto Básico.', 'unidade': 'passagem', 'preco_maximo': '3000', 'vl_unit': '3000', 'qtd': '178', 'vl_total': '534000', 'status': 'Homologado', 'empresa': 'FERREIRA E SOBRINHO LTDA (19.533.891/0001-70)'}, {'id': '153704', 'produto': 'SERVIÇO DE PASSAGEM AÉREA, Descrição: contratação de empresa especializada na prestação de serviço em  Agenciamento de Viagens para Aquisição de Passagens Aéreas.', 'unidade': 'Taxa', 'preco_maximo': '0', 'vl_unit': '0', 'qtd': '178', 'vl_total': '0', 'status': 'Homologado', 'empresa': 'FERREIRA E SOBRINHO LTDA (19.533.891/0001-70)'}, {'id': '153302', 'produto': 'SERVIÇO DE AGENCIAMENTO DE VIAGENS, Contratação de empresa especializada para prestação de serviço de Seguro de Assistência em Viagem Internacional, conforme Termo de Referência.', 'unidade': 'unidade', 'preco_maximo': '438', 'vl_unit': '438', 'qtd': '2', 'vl_total': '876', 'status': 'Homologado', 'empresa': 'FERREIRA E SOBRINHO LTDA (19.533.891/0001-70)'}]"
CAE 001/26,45101,SEPET,SECRETARIA DE ESTADO DE PROTECAO ANIMAL,AQUISIÇÃO DE AÇÚCAR,"       3,888.00",,Homologado Total,N,253076,109,CAE,12/02/2026,"[{'id': '146865', 'produto': 'AÇÚCAR, Tipo: cristal; Unidade de Fornecimento: pacote com 1 kg', 'unidade': 'pacote', 'preco_maximo': '4.05', 'vl_unit': '4,05', 'qtd': '960', 'vl_total': '3888', 'status': 'Homologado', 'empresa': 'AFC COMERCIO E INDUSTRIA DE ALIMENTOS LTDA (18.880.097/0001-30)'}]"
